combo,replication,revenue,perfect,difference
0,0,105060,113088,0.070988964
0,1,114000,117216,0.027436527
0,2,80580,101970,0.209767579
0,3,92100,107640,0.144370123
0,4,63420,89904,0.294580886
0,5,81840,102540,0.20187244
0,6,118020,118872,0.007167373
0,7,43980,71904,0.388351135
0,8,99300,110832,0.104049372
0,9,53280,80952,0.341832197
0,10,58740,85944,0.316531695
0,11,83820,103398,0.189346022
0,12,60300,86700,0.30449827
0,13,79620,101382,0.214653489
0,14,120000,120000,0.0
0,15,113220,116832,0.030916187
0,16,92880,107874,0.138995495
0,17,48960,76476,0.359799153
0,18,75840,99444,0.23735972
0,19,104520,113190,0.076596873
0,20,64140,90156,0.288566485
0,21,73800,98442,0.250319985
0,22,89580,106356,0.157734401
0,23,79500,101178,0.214256064
0,24,48780,76644,0.363550963
0,25,78600,100782,0.220098827
0,26,120000,120000,0.0
0,27,38040,62088,0.387321221
0,28,110760,115812,0.043622423
0,29,45420,73320,0.380523732
0,30,75720,99468,0.238750151
0,31,67320,93684,0.281414116
0,32,118140,118896,0.006358498
0,33,27540,44868,0.386199519
0,34,76080,99606,0.236190591
0,35,39060,64080,0.390449438
0,36,57060,83988,0.320617231
0,37,67080,93660,0.283792441
0,38,63420,89904,0.294580886
0,39,87480,105384,0.169892963
0,40,104580,112950,0.074103586
0,41,97260,110154,0.117054306
0,42,89340,106194,0.158709532
0,43,94800,108906,0.129524544
0,44,38040,62424,0.390618993
0,45,87900,105582,0.167471728
0,46,100980,111540,0.094674556
0,47,95460,109212,0.125920229
0,48,120000,120000,0.0
0,49,49620,77460,0.359411309
1,0,58788,85236,0.310291426
1,1,55980,82800,0.323913043
1,2,101916,111600,0.086774194
1,3,93270,107466,0.132097594
1,4,61950,87816,0.294547691
1,5,88578,105612,0.16128849
1,6,76692,99546,0.229582304
1,7,71880,97206,0.260539473
1,8,55176,81744,0.32501468
1,9,84654,103386,0.181185073
1,10,69240,94554,0.267720033
1,11,67896,93540,0.274150096
1,12,97044,108954,0.109312187
1,13,58914,85428,0.310366625
1,14,60786,86640,0.298407202
1,15,68160,93816,0.273471476
1,16,70014,95088,0.26369258
1,17,73296,97812,0.250644093
1,18,107040,113436,0.056384217
1,19,92316,107286,0.139533583
1,20,74478,98160,0.241259169
1,21,83436,102396,0.185163483
1,22,93408,107856,0.133956386
1,23,97632,109944,0.111984283
1,24,101094,111264,0.091404228
1,25,71790,96936,0.259408269
1,26,64398,90678,0.289816714
1,27,84348,103134,0.182151376
1,28,82842,102264,0.189920207
1,29,104400,112716,0.073778346
1,30,53808,80580,0.332241251
1,31,81984,102024,0.196424371
1,32,73062,97740,0.252486188
1,33,92814,107202,0.134213914
1,34,44112,71016,0.378844204
1,35,112878,116328,0.02965752
1,36,73740,97836,0.246289709
1,37,86610,104394,0.170354618
1,38,47592,75180,0.366959298
1,39,71820,96948,0.259190494
1,40,83730,102864,0.186012599
1,41,66018,91716,0.280191024
1,42,90312,106218,0.14974863
1,43,87240,104436,0.164655866
1,44,99996,110472,0.094829459
1,45,86286,104286,0.172602267
1,46,91578,106674,0.141515271
1,47,86460,104454,0.172267218
